Kanji,Kana,POS,Meaning,Example
行儀,ぎょうぎ,n,manners; behavior,"
"
行動,こうどう,"n,vs,adj-no",action; conduct,"
"
衛星,えいせい,"n,adj-no",satellite,"
"
衣服,いふく,n,clothes,"
"
表す,あらわす,vt,to represent; to signify; to show; to display,"
"
表情,ひょうじょう,n,facial expression,"
"
表現,ひょうげん,"n,vs",expression; notation,"
"
表面,ひょうめん,"n,adj-no",surface; exterior,"
"
袋,ふくろ,n,bag; pouch,"
"
袖,そで,n,sleeve,"
"
装置,そうち,"n,vs",equipment; device,"
"
裏切る,うらぎる,vt,to betray,"
"
裸,はだか,"n,adj-no",naked,"
"
製造,せいぞう,"n,vs,adj-no",manufacture,"
"
要点,ようてん,n,gist; main point,"
"
要素,ようそ,n,component; factor; item,"
"
覆う,おおう,vt,to cover; to hide,"
"
見事,みごと,adj-na,splendid; magnificent,"
"
見当,けんとう,n,estimate; guess,"
"
見解,けんかい,n,opinion; point of view,"
"
見送り,みおくり,n,seeing one off; farewell,"
"
覚ます,さます,vt,to awaken; to arouse from sleep,"
"
覚める,さめる,vi,to wake; to wake up,"
"
覚悟,かくご,"n,vs",readiness; preparedness,"
"
親しい,したしい,adj-i,close; familiar; intimate,"
"
親戚,しんせき,n,relative; kin,"
"
観光,かんこう,"n,vs,adj-no",sightseeing,"
"
観察,かんさつ,"n,vs",observation,"
"
解決,かいけつ,"n,vs",solution; resolution,"
"
解釈,かいしゃく,"n,vs",explanation; interpretation,"
"
触れる,ふれる,vi,to touch; to touch on a subject; to come in contact with,"
"
言わば,いわば,adv,so to speak; so to call it,"
"
言語,げんご,n,language,"
"
計る,はかる,vt,to measure; to weigh,"
"
計算,けいさん,"n,vs",calculation,"
"
訓練,くんれん,"n,vs",training; drill,"
"
記事,きじ,n,article; news story,"
"
記入,きにゅう,"n,vs",entry; filling in; filling out,"
"
記念,きねん,"n,vs",commemoration; memory,"
"
記憶,きおく,"n,vs",memory; recollection,"
"
記者,きしゃ,"n,adj-no",reporter,"
"
記録,きろく,"n,vs",record; document,"
"
訪問,ほうもん,"n,vs,adj-no",call; visit,"
"
設計,せっけい,"n,vs",plan; design,"
"
許可,きょか,"n,vs",permission; approval,"
"
訳,わけ,n,reason; excuse,"
"
訴える,うったえる,vt,to raise; to bring to (someone's attention),"
"
診察,しんさつ,"n,vs",medical examination,"
"
評価,ひょうか,"n,vs",assessment; evaluation,"
"
試し,ためし,n,trial; test,"
"
詩,し,n,poem; verse,"
"
詩人,しじん,n,poet,"
"
詰める,つめる,vt,to stuff into; to fill,"
"
話し合う,はなしあう,"v5u,vt",to discuss; to talk together,"
"
話題,わだい,"n,adj-no",topic; subject,"
"
詳しい,くわしい,adj-i,detailed,"
"
誇り,ほこり,n,pride,"
"
認める,みとめる,vt,to recognize; to approve; to allow,"
"
誕生,たんじょう,"n,vs",birth; creation; formation,"
"
誘う,さそう,vt,to invite; to ask (someone to do),"
"
語,ご,"n,n-suf",language,"
"
語学,ごがく,n,study of language; linguistics,"
"
誤り,あやまり,n,error; mistake,"
"
説,せつ,"n,n-suf",theory; doctrine,"
"
読み,よみ,n,reading,"
"
調子,ちょうし,n,tone; pitch; mood; manner,"
"
請求,せいきゅう,"n,vs",billing (for a service); claim,"
"
論じる,ろんじる,vt,to discuss; to deal with (a topic); to dispute,"
"
論争,ろんそう,"n,vs",dispute; controversy,"
"
諦める,あきらめる,vt,to give up,"
"
諺,ことわざ,n,proverb; saying,"
"
謎,なぞ,n,enigma; mystery,"
"
講演,こうえん,"n,vs",lecture; speech,"
"
警告,けいこく,"n,vs,adj-no",warning; disclaimer,"
"
議会,ぎかい,n,congress; legislative assembly,"
"
議員,ぎいん,n,member of the Diet,"
"
議論,ぎろん,"n,vs",argument; discussion,"
"
議長,ぎちょう,n,chairman; speaker (e.g. of assembly),"
"
譲る,ゆずる,vt,to turn over; to yield,"
"
谷,たに,n,valley,"
"
豆,まめ,n,legume; bean,"
"
豊か,ゆたか,adj-na,abundant; pentiful,"
"
豊富,ほうふ,"adj-na,n",abundance; wealth,"
"
負け,まけ,n,defeat; loss,"
"
財産,ざいさん,n,property; assets,"
"
貢献,こうけん,"n,vs",contribution,"
"
貧しい,まずしい,adj-i,poor; scanty; inadequate,"
"
販売,はんばい,"n,vs",sales; selling,"
"
責める,せめる,vt,to blame; to criticize; to press; to persecute,"
"
責任,せきにん,n,responsibility,"
"
貯金,ちょきん,"n,vs",savings; deposit (e.g. in a bank),"
"
貴重,きちょう,"adj-na,n",precious; valuable,"
"
費用,ひよう,n,cost; expense,"
"
資本,しほん,n,funds; capital,"
"
資源,しげん,n,resources,"
"
賛成,さんせい,"n,vs,adj-no",approval; agreement; support,"
"
賞,しょう,"n,n-suf",prize; award,"
"
賢い,かしこい,adj-i,clever; smart,"
"
質,しつ,"n,n-suf",quality; value,"
"
贅沢,ぜいたく,"n,adj-na",luxury; extravagance,"
"
起こる,おこる,vi,to occur; to happen,"
"
越える,こえる,vt,to exceed; to pass,"
"
越す,こす,vt,to cross over (e.g. mountain); to surpass,"
"
足元,あしもと,"n,adj-no",at one's feet,"
"
跡,あと,n,trace; tracks; scar,"
"
身,み,n,body; oneself,"
"
身長,しんちょう,n,height (of body),"
"
軍,ぐん,"n,n-suf",army,"
"
軍隊,ぐんたい,n,armed forces; military,"
"
輝く,かがやく,vi,to shine; to glitter; to sparkle,"
"
輪,わ,n,ring; circle; loop,"
"
辞める,やめる,vt,"to resign; to leave (one's job, etc.)","
"
農業,のうぎょう,"n,adj-no",agriculture,"
"
農民,のうみん,"n,adj-no",farmer,"
"
辺り,あたり,n,neighborhood; vicinity; nearby,"
"
迎え,むかえ,n,meeting; greeting,"
"
近代,きんだい,"n,adj-no",present day; modern times,"
"
近頃,ちかごろ,"n-adv,n",lately; recently,"
"
述べる,のべる,vt,to state; to mention,"
"
迷惑,めいわく,"adj-na,n",trouble; annoyance,"
"
追い付く,おいつく,vi,to catch up (with); to draw level; to get to even,"
"
追う,おう,vt,to chase; to pursue; to follow,"
"
退屈,たいくつ,"n,adj-na",tedium; boredom; dullness,"
"
逆,ぎゃく,"adj-no,adj-na,n",opposite,"
"
逆らう,さからう,vi,to oppose; to defy,"
"
通じる,つうじる,vi,to communicate (with); to be understood; to be connected,"
"
通す,とおす,vt,to let pass; to go through; to pass,"
"
通り過ぎる,とおりすぎる,vi,to go past; to pass by,"
"
通信,つうしん,"n,vs",correspondence; communication; transmission; signal,"
"
通学,つうがく,"n,vs",commuting to school,"
"
通行,つうこう,"n,vs","passage (of people, traffic)","
"
通過,つうか,"n,vs",passing through (e.g. train skipping a station); passing by,"
"
速度,そくど,n,speed; velocity,"
"
連れ,つれ,"n,vs",companion,"
"
連想,れんそう,"n,vs,adj-no",association (of ideas),"
"
逮捕,たいほ,"n,vs",arrest; capture,"
"
進学,しんがく,"n,vs",going on to a higher-level school,"
"
遂に,ついに,adv,finally; in the end,"
"
遅刻,ちこく,"n,vs,adj-no",being late,"
"
運,うん,n,fortune; luck,"
"
過ごす,すごす,vt,to pass (time); to overdo,"
"
過去,かこ,"n-adv,n",the past,"
"
道徳,どうとく,"n,adj-no",morals,"
"
道路,どうろ,n,road; highway,"
"
達する,たっする,vi,to reach; to arrive at,"
"
違反,いはん,"n,vs",violation; offense,"
"
適する,てきする,vi,to fit; to suit,"
"
適切,てきせつ,"adj-na,n",pertinent; appropriate,"
"
適度,てきど,"adj-na,adj-no,n",proper amount; suitable,"
"
適用,てきよう,"n,vs",application (e.g. a technology); adoption,"
"
選択,せんたく,"n,vs",selection; choice,"
"
避ける,さける,vt,to avoid,"
"
部分,ぶぶん,n,portion; section,"
"
郵便,ゆうびん,n,postal service; mail,"
"
都市,とし,"n,adj-no",town; city,"
"
配達,はいたつ,"n,vs",delivery; distribution,"
"
酔う,よう,vi,"to become intoxicated; to feel sick (from movement in e.g. a boat, car)","
"
酸素,さんそ,"n,adj-no",oxygen,"
"
重大,じゅうだい,"adj-na,n",serious; important,"
"
重要,じゅうよう,"adj-na,n",important; essential,"
"
重視,じゅうし,"n,vs",regard as important; put emphasis on,"
"
野,の,n,plain; field,"
"
量,りょう,"n,n-suf",quantity; volume,"
"
金属,きんぞく,n,metal,"
"
金庫,きんこ,n,safe; strongbox,"
"
金融,きんゆう,"n,adj-no",finance; financing,"
"
金銭,きんせん,"n,adj-no",money; cash,"
"
金額,きんがく,n,amount of money,"
"
針,はり,n,needle; pin; stinger; thorn,"
"
鉄道,てつどう,n,railroad; railway,"
"
銀,ぎん,n,Silver,"
"
銃,じゅう,n,gun; rifle,"
"
銅貨,どうか,n,copper coin,"
"
鋭い,するどい,adj-i,(physically) sharp; pointed; (mentally) sharp; perceptive,"
"
鎖,くさり,n,chain,"
"
長期的,ちょうきてき,adj-na,long-term,"
"
短期的,たんきてき,adj-na,short-term,"
"
短期,たんき,"adj-no,n",short-term,"
"
長期,ちょうき,"adj-no,n",long-term,"
"
閉じる,とじる,"vt,vi",to close; to shut,"
"
関する,かんする,vi,to concern; to be related,"予算に関する問題
the problem related to the budget"
関心,かんしん,n,interest; concern,"
"
関連,かんれん,"n,adj-no,vs,suf",relation; connection,"
"
防ぐ,ふせぐ,vt,to defend against; to prevent; to avoid,"
"
降ろす,おろす,vt,to take down; to lower; to unload,"
"
限る,かぎる,"vt,vi",to restrict; to limit,"
"
限界,げんかい,"n,adj-no",limit,"
"
除く,のぞく,vt,to remove; to eliminate; to exclude,"
"
随分,ずいぶん,"adv,adv-to",very; surprisingly,"
"
～際（さい）,～さい,"n-adv,n",on the occasion of ～,"
"
障害,しょうがい,"n,vs",obstacle; handicap; disability,"
"
隠す,かくす,vt,to hide; to conceal,"
"
隠れる,かくれる,vi,to be hidden,"
"
集まり,あつまり,n,gathering; meeting,"
"
集中,しゅうちゅう,"n,vs,adj-no",concentration,"
"
集団,しゅうだん,n,group; mass,"
"
雇う,やとう,vt,to employ; to hire,"
"
離す,はなす,vt,to separate; to part; to let go,"
"
離れる,はなれる,vi,to be separated; to go away; to leave,"
"
離婚,りこん,"n,vs",divorce,"
"
雰囲気,ふんいき,n,mood; ambience; atmosphere,"
"
雷,かみなり,n,lightning; thunder,"
"
電子,でんし,adj,electronic,"
"
需要,じゅよう,n,demand; request,"
"
震える,ふるえる,vi,to shiver; to shake,"
"
霜,しも,n,frost,"
"
霧,きり,n,fog; mist,"
"
青年,せいねん,n,youth,"
"
非常,ひじょう,"n,adj-na,adj-no",emergency | extraordinary; unusual,"
"
面（おもて）,おもて,n,face; front side,"
"
面（めん）,めん,n,face; mask,"
"
面倒,めんどう,"n,adj-na",trouble; bother,"
"
革,かわ,n,leather,"
"
順,じゅん,"n,n-suf",order; ranking,"
"
順番,じゅんばん,n,order; sequential order,"
"
預ける,あずける,vt,to entrust; to deposit; to leave in one's care,"
"
願い,ねがい,n,request; desire,"
"
願う,ねがう,vt,to desire; to request,"
"
飛ばす,とばす,vt,to fly; to fire; to launch; to omit; to skip over,"
"
飛行,ひこう,"n,vs",aviation; flying,"
"
食う,くう,vt,to eat (casual or masculine),"
"
食卓,しょくたく,"n,adj-no",dining table,"
"
食品,しょくひん,n,food products; foodstuffs,"
"
食料,しょくりょう,n,food,"
"
食欲,しょくよく,"n,adj-no",appetite (for food),"
"
食物,しょくもつ,"n,adj-no",food; foodstuff,"
"
食糧,しょくりょう,n,provisions; food supply,"
"
飯,めし,n,cooked rice,"
"
飽きる,あきる,vi,to get tired of,"
"
餌,えさ,n,feed; pet food; bait,"
"
首相,しゅしょう,n,Prime Minister; Chancellor,"
"
首都,しゅと,"n,adj-no",capital city,"
"
香り,かおり,n,aroma,"
"
バカ,バカ,"n,adj-na",fool; idiot; stupid,"
"
駐車,ちゅうしゃ,"n,vs,adj-no",parking (e.g. car),"
"
騒ぎ,さわぎ,"n,n-suf",uproar,"
"
骨折,こっせつ,"n,vs",broken bone,"
"
高価,こうか,"adj-na,n",high price,"
"
高速,こうそく,"adj-na,n,adj-no",high speed,"
"
髪の毛,かみのけ,"exp,n",hair (head),"
"
鬼,おに,n,oni; ogre; demon,"
"
魅力,みりょく,n,charm; attraction; appeal,"
"
黒板,こくばん,n,blackboard,"
"
黙る,だまる,vi,to be silent; to say nothing,"
"
ネズミ,ネズミ,n,"(uk) mouse; rat | dark gray; dark grey; slate (color, colour)","
"
あっという間に,あっというまに,"exp,adv",just like that; before you know it,"
"
お気に入り,おきにいり,"exp,adj-no",favorite; bookmark (e.g. on a web browser),"
"
こんなに,こんなに,adv,like this; in this way,"
"
そっと,そっと,"adv,vs",quietly; secretly; stealthily,"
"
ちゃんと,ちゃんと,"adv,vs",seriously; properly; exactly,"
"
とんでもない,とんでもない,adj-i,unthinkable; outrageous; unexpected,"
"
どんなに,どんなに,adv,how; how much,"
"
アイスクリーム,アイスクリーム,n,ice cream,"
"
アイディア,アイディア,n,idea,"
"
アイロン,アイロン,n,iron (clothes); hair iron,"
"
アウト,アウト,adj-f,outer; external; outside,"
"
アドバイス,アドバイス,"n,vs",advice,"
"
アニメ,アニメ,"n,adj-no",animated film; animated cartoon,"
"
アルバム,アルバム,n,album,"
"
アレルギー,アレルギー,"n,adj-no",allergy,"
"
イベント,イベント,n,event,"
"
インク,インク,"n,adj-no",ink,"
"
ウイスキー,ウイスキー,n,whisky; whiskey,"
"
ウイルス,ウイルス,"n,adj-no",virus,"
"
エンジン,エンジン,n,engine,"
"
オフィス,オフィス,n,office,"
"
オリンピック,オリンピック,n,Olympics,"
"
オープン,オープン,"adj-na,n,vs",open,"
"
カット,カット,"n,vs",cut; haircut; shuffle (cards),"
"
カフェ,カフェ,n,cafe; coffeehouse,"
"
カロリー,カロリー,"n,adj-no",calorie,"
"
カード,カード,n,card,"
"
キャンセル,キャンセル,"n,vs",cancel,"
"
キャンプ,キャンプ,"n,vs",camp,"
"
クッキー,クッキー,n,cookie,"
"
クラシック音楽,クラシックおんがく,n,classical music,"
"
クラスメイト,クラスメイト,n,classmate,"
"
クリスマス,クリスマス,n,Christmas,"
"
クリーム,クリーム,n,cream,"
"
グラウンド,グラウンド,n,sports ground,"
"
グラス,グラス,n,glass (drinking vessel),"
"
グルメ,グルメ,"n,adj-no",gourmet,"
"
グレー,グレー,"adj-na,n",grey,"
"
グローバル,グローバル,"adj-na,n",global,"
"
ケース,ケース,n,case,"
"
ゲーム,ゲーム,n,game,"
"
コアラ,コアラ,n,koala,"
"
コミュニケーション,コミュニケーション,n,communication,"
"
コメディー,コメディー,n,comedy,"
"
コンタクトレンズ,コンタクトレンズ,n,contact lens,"
"
コーチ,コーチ,"n,vs",coach,"
"
コード,コード,n,code; cord; chord,"
"
ゴルフ,ゴルフ,n,golf,"
"
ゴール,ゴール,"n,vs",goal,"
"
サイン,サイン,"n,vs",autograph; signature,"
"
サラリーマン,サラリーマン,n,company employee,"
"
サングラス,サングラス,n,sunglasses,"
"
サンタクロース,サンタクロース,n,Santa Claus,"
"
サークル,サークル,n,club (e.g. company sports club); group with common interests,"
"
サービス,サービス,"n,vs,adj-no",service,"
"
システム,システム,"n,adj-no",system,"
"
ジュース,ジュース,n,juice,"
"
ジーンズ,ジーンズ,n,jeans,"
"
スイッチ,スイッチ,"n,vs",switch,"
"
スキー,スキー,n,skiing; ski,"
"
スケート,スケート,"n,vs",skating; skates,"
"
スタイル,スタイル,n,figure; style,"
"
スタッフ,スタッフ,"n,adj-no",staff,"
"
スタンド,スタンド,n,stands; bleachers; stand (e.g. lemonade stand),"
"
ストレス,ストレス,n,stress,"
"
パスタ,パスタ,n,pasta,"
"
スピーチ,スピーチ,n,speech,"
"
スピード,スピード,n,speed,"
"
スープ,スープ,n,soup,"
"
センター,センター,n,center,"
"
セール,セール,n,sale,"
"
タイトル,タイトル,n,title,"
"
タオル,タオル,n,towel,"
"
ダイエット,ダイエット,"n,vs",diet,"
"
ダイヤ,ダイヤ,n,diamond,"
"
ダンス,ダンス,"n,vs",dance,"
"
チーム,チーム,n,team,"
"
チームワーク,チームワーク,n,teamwork,"
"
テレビ局,テレビきょく,n,television station,"
"
テント,テント,n,tent,"
"
テーマ,テーマ,n,theme,"
"
ディスカッション,ディスカッション,"n,vs",discussion,"
"
ディナー,ディナー,n,dinner,"
"
トイレットペーパー,トイレットペーパー,n,toilet paper,"
"
トマト,トマト,n,tomato,"
"
トラック,トラック,"n,adj-no",truck,"
"
トランプ,トランプ,n,playing cards,"
"
トレーニング,トレーニング,"n,vs",training,"
"
トンネル,トンネル,"n,vs",tunnel,"
"
ドライブ,ドライブ,"n,vs",drive; trip by car,"
"
ドリンク,ドリンク,n,drink,"
"
ドロドロ,ドロドロ,"adj-na,adv,n,adj-no",syrupy; thick consistency,"
"
ニーズ,ニーズ,n,needs,"
"
ノック,ノック,"n,vs",knock (on a door),"
"
ハイキング,ハイキング,n,hiking,"
"
ハム,ハム,n,ham,"
"
ハンバーガー,ハンバーガー,n,hamburger (with bun),"
"
バイオリン,バイオリン,n,violin,"
"
バイク,バイク,n,motorcycle,"
"
バッグ,バッグ,n,bag,"
"
バドミントン,バドミントン,n,badminton,"
"
バランス,バランス,"n,vs",balance,"
"
バレンタインデー,バレンタインデー,n,Valentine's Day,"
"
バンド,バンド,n,band; musical group,"
"
パイプ,パイプ,n,pipe,"
"
パイロット,パイロット,n,pilot,"
"
パス,パス,"n,vs",path; pass,"
"
パスポート,パスポート,n,passport,"
"
パーセント,パーセント,n,percent,"
"
ヒット,ヒット,"n,vs",hit,"
"
ビデオ,ビデオ,n,video,"
"
ビール,ビール,n,beer,"
"
ピアス,ピアス,n,earrings,"
"
ピクニック,ピクニック,n,picnic,"
"
ピザ,ピザ,n,pizza,"
"
ピッチャー,ピッチャー,n,pitcher,"
"
ピン,ピン,n,pin,"
"
ファイル,ファイル,"n,vs",file,"
"
ファストフード,ファストフード,n,fast-food,"
"
ファッション,ファッション,n,fashion,"
"
フルーツ,フルーツ,n,fruit,"
"
ブレーキ,ブレーキ,n,brake,"
"
プライベート,プライベート,"adj-na,n",private,"
"
プラグ,プラグ,n,plug; connector,"
"
プラス,プラス,"n,vs",plus; addition; positive,"
"
プレゼンテーション,プレゼンテーション,"n,vs",presentation,"
"
プロ,プロ,"n,adj-no",professional,"
"
プロジェクター,プロジェクター,n,projector,"
"
プロジェクト,プロジェクト,n,project,"
"
ヘッドホン,ヘッドホン,n,headphone,"
"
ベランダ,ベランダ,n,veranda; balcony,"
"
ベルト,ベルト,n,belt,"
"
ベンチ,ベンチ,n,bench,"
"
ホーム,ホーム,n,platform (e.g. train) | home,"
"
ホームステイ,ホームステイ,n,homestay,"
"
ホームページ,ホームページ,n,homepage,"
"
ボウリング,ボウリング,"n,vs",bowling,"
"
ボウル,ボウル,n,bowl,"
"
ボート,ボート,n,boat,"
"
ボール,ボール,n,ball,"
"
マスク,マスク,"n,vs",mask,"
"
ママ,ママ,n,mama; mother,"
"
マンション,マンション,n,apartment,"
"
マーケット,マーケット,n,market,"
"
ミルク,ミルク,n,milk,"
"
メダル,メダル,n,medal,"
"
メリット,メリット,n,merit,"
"
メンバー,メンバー,n,member,"
"
モデル,モデル,n,model,"
"
ユニフォーム,ユニフォーム,n,uniform,"
"
ユーモア,ユーモア,n,humour,"
"
ヨット,ヨット,n,yacht,"
"
ヨーグルト,ヨーグルト,n,yogurt,"
"
ライター,ライター,n,lighter,"
"
ライバル,ライバル,"n,adj-no",rival,"
"
ラケット,ラケット,n,racket,"
"
ランニング,ランニング,n,running,"
"
リットル,リットル,n,litre,"
"
レンタル,レンタル,"n,vs",rental,"
"
ロケット,ロケット,n,rocket,"
"
ワイン,ワイン,n,wine,"
"
一人一人,ひとりひとり,"n,suf",one by one; one at a time,"
"
一晩,ひとばん,"n-adv,n",one night; | all night,"
"
一気に,いっきに,adv,all at once; in one gulp,"
"
上司,じょうし,n,superior; boss,"
"
不健康,ふけんこう,"adj-na,n",unhealthy,"
"
不可能,ふかのう,"adj-na,n",impossible,"
"
不要,ふよう,"adj-na,n,adj-no",unnecessary,"
"
中身,なかみ,"n,adj-no",contents; interior,"
"
事,こと,n,thing; matter,"
"
事前,じぜん,"n,adj-no",beforehand; in advance,"
"
人事,じんじ,"n,adj-no",human resources; HR,"
"
人数,にんずう,n,number of people,"
"
人生,じんせい,n,life; one's lifetime,"
"
人間関係,にんげんかんけい,"n,adj-no",human relations,"
"
他社,たしゃ,n,another company,"
"
付き合う,つきあう,vi,to associate with; to socialize with,"
"
付ける,つける,vt,to attach; to join; to apply,"
"
休日,きゅうじつ,n,holiday; day off,"
"
体調,たいちょう,n,physical condition; state of health,"
"
何か,なにか,exp,something,"
"
何で,なんで,adv,why,"
"
何でも,なんでも,adv,anything,"
"
何とか,なんとか,adv,somehow; anyhow,"
"
余り,あまり、あんまり,"adj-na,adv,adj-no,n,n-suf",remainder; balance; left over,"
"
例年,れいねん,"n-adv,n",ordinay year,"
"
保つ,たもつ,vt | vi,to keep; to preserve | to last; to endure,"
"
信念,しんねん,"n,vs,adj-no",belief; faith,"
"
値上がり,ねあがり,n,price increase,"
"
値上げ,ねあげ,"n,vs",price increase,"
"
値下げ,ねさげ,"n,vs",price decrease,"
"
偽物,にせもの,"n,adj-no",counterfeit; imitation,"
"
充電,じゅうでん,"n,vs",charging (electrically),"スマホを充電した？
Did you charge your smartphone?"
入金,にゅうきん,"n,vs",deposit; payment,"
"
全く,まったく,"adv,adj-no",entirely; completely,"
"
共に,ともに,adv,jointly; at the same time,"
"
再び,ふたたび,adv,again; a second time,"
"
再度,さいど,"n-adv,n",twice; again; second time,"
"
冷凍庫,れいとうこ,n,freezer,"
"
初心者,しょしんしゃ,n,beginner,"
"
別に,べつに,adv,not particularly | separately; additionally,"
"
利用者,りようしゃ,n,user; consumer,"
"
効果的,こうかてき,adj-na,effective; successful,"
"
参加者,さんかしゃ,n,participant,"
"
又,また,"adv,conj,pref",again; and; also,"
"
取り上げる,とりあげる,vt,to pick up; to adopt; to accept | to confiscate,"
"
受かる,うかる,vi,to pass (examination),"
"
かなり,かなり,"adj-no,adj-na,adv",considerably; fairly; quite,"
"
台,だい,n,stand; rack,"
"
和菓子,わがし,n,Japanese sweets,"
"
地球上,ちきゅうじょう,adj-no,on the earth,"
"
基づく,もとづく,vi,to be based on; to originate from,"
"
報告書,ほうこくしょ,n,(written) report,"
"
境,さかい,n,border; boundary,"
"
ゆうべ,ゆうべ,n,last night,"
"
大声,おおごえ,"n,adj-no",loud voice,"
"
大量,たいりょう,"adj-na,n,adj-no",large quantity,"
"
大雨,おおあめ,n,heavy rain,"
"
学費,がくひ,n,tuition; school expenses,"
"
宝くじ,たからくじ,n,lottery | lottery ticket,"
"
実に,じつに,adv,indeed; really; truly,"
"
むしろ,むしろ,adv,rather; better; instead,"
"
専門家,せんもんか,n,specialist; professional; authority,"
"
小麦粉,こむぎこ,n,wheat flour,"
"
少しも,すこしも,adv,not one bit,"
"
おる,おる,vi,(hum) to be; to exist; keigo version of いる,"
"
工夫,くふう,"n,vs",scheme; device,"
"
平日,へいじつ,n,weekday,"
"
平気,へいき,"n,adj-na",calmness; composure,"
"
年末,ねんまつ,n,end of the year,"
"
延びる,のびる,vi,to lengthen; to grow; to be extended; to be postponed,"
"
引っ越し,ひっこし,"n,vs",moving; changing residence,"
"
役立つ,やくだつ,vi,to be useful,"
"
後悔,こうかい,"n,vs",regret; remorse,"
"
徐々,じょじょ,adv,gradually; steadily; little by little,"
"
怪我,けが,"n,vs",injury; hurt,"
"
手に入れる,てにいれる,vt,to obtain; to procure,"
"
手荷物,てにもつ,n,hand luggage,"
"
抜群,ばつぐん,"adj-no,adj-na",outstanding; exceptional,"
"
担当者,たんとうしゃ,n,person in charge; person responsible,"
"
持ち上げる,もちあげる,vt,to raise; to lift up,"
"
掲示板,けいじばん,n,bulletin board,"
"
敬語,けいご,n,honorific language,"
"
料理屋,りょうりや,n,restaurant,"
"
新婦,しんぷ,n,bride,"
"
新郎,しんろう,n,bridegroom,"
"
既に,すでに,adv,already,"
"
日ごろ,ひごろ,n-adv,normally; habitually,"
"
旧～,きゅう～,pref,ex-; former-; old-,"
"
昇る,のぼる,vi,to ascend; to climb,"
"
星占い,ほしうらない,n,astrology; horoscope,"
"
昨年,さくねん,n,last year,"
"
昨晩,さくばん,n,last night,"
"
昼過ぎ,ひるすぎ,n,a little past noon,"
"
時給,じきゅう,n,hourly wage,"
"
曜日,ようび,n,day of the week,"
"
替える,かえる,vt,to replace; to exchange; to substitute,"
"
～最中,～さいちゅう,n-adv,in the middle of ～,"
"
月曜,げつよう,n,Monday,"
"
火曜,かよう,n,Tuesday,"
"
水曜,すいよう,n,Wednesday,"
"
木曜,もくよう,n,Thursday,"
"
金曜,きんよう,n,Friday,"
"
土曜,どよう,n,Saturday,"
"
日曜,にちよう,n,Sunday,"
"
朝寝坊,あさねぼう,"n,vs",oversleeping,"
"
朝食,ちょうしょく,n,breakfast,"
"
本気,ほんき,"n,adj-na",seriousness; earnestness,"
"
格好,かっこう,n,shape; form; posture,"
"
次回,じかい,"n-adv,n",next time,"
"
～次第,～しだい,suf,depending on ～; as soon as ～,"
"
残業,ざんぎょう,"n,vs",overtime (work),"
"
毛虫,けむし,n,hairy caterpillar,"
"
注,ちゅう,"n,vs",annotation; explanatory note,"
"
津波,つなみ,n,tidal wave,"
"
浴衣,ゆかた,n,yukata (Japanese bathrobe),"
"
満開,まんかい,"n,vs",full bloom,"
"
溶ける,とける,vi,to melt; to thaw,"
"
めったに,めったに,adv,rarely; seldom,"
"
漫画家,まんがか,n,cartoonist; manga artist,"
"
熱中,ねっちゅう,"n,vs",enthusiasm; mania,"
"
片手,かたて,"n,adj-no",one hand,"
"
独り,ひとり,n,one person; alone; solitary,"
"
玉,たま,n,sphere; globe; egg,"
"
王,おう,n,king; monarch,"
"
王様,おうさま,n,king,"
"
現す,あらわす,vt,to represent; to stand for; to show; to display,"
"
理論,りろん,n,theory,"
"
生地,きじ,n,cloth; fabric; material,"
"
田,た,n,rice field,"
"
男の人,おとこのひと,n,man,"
"
画像,がぞう,n,image; picture,"
"
略,りゃく,n,abbreviation; omission,"
"
目が覚める,めがさめる,vi,to awaken,"
"
目の前,めのまえ,n,before one's eyes,"
"
目指す,めざす,vt,to aim for; to shoot for,"
"
目薬,めぐすり,n,eye drops,"
"
目覚まし時計,めざましどけい,n,alarm clock,"
"
真っ直ぐ,まっすぐ,"adj-na,adv,n",straight ahead; direct; straight forward; honest,"
"
真っ赤,まっか,"adj-na,n",bright red; deep red,"
"
真冬,まふゆ,n,midwinter,"
"
真夏,まなつ,n,midsummer,"
"
まさか,まさか,int,(uk) by no means; never!; something unexpected,"
"
知り合い,しりあい,n,acquaintance,"
"
社会人,しゃかいじん,n,working adult,"
"
程（ほど）,ほど,"n-adv,n",degree; extent,"
"
やや,やや,adv,a little; partially; slightly,"
"
競走,きょうそう,"n,vs",race,"
"
粗い,あらい,adj-i,coarse; rough,"
"
納豆,なっとう,n,natto (fermented soybeans),"
"
素敵,すてき,adj-na,fantastic; superb,"
"
経験者,けいけんしゃ,n,experienced person,"
"
美容院,びよういん,n,beauty salon,"
"
翌日,よくじつ,n,next day,"
"
販売機,はんばいき,n,vending machine,"
"
自動販売機,じどうはんばいき,n,vending machine,"
"
花火,はなび,n,fireworks,"
"
芸能人,げいのうじん,n,entertainer; celebrity,"
"
いらいら,いらいら,"adv,n,vs",getting nervous; being irritated,"
"
薬局,やっきょく,n,pharmacy,"
"
蚊,か,n,mosquito,"
"
街,まち,n,city; town,"
"
衝突,しょうとつ,"n,vs",collision; crash | conflict,"
"
表れる,あらわれる,vi,to appear; to become visible; to be expressed,"
"
要するに,ようするに,exp,in a word; the point is; to put it simply,"
"
親しむ,したしむ,vi,to be close with; to befriend,"
"
観光客,かんこうきゃく,n,tourist,"
"
